,,,,,,,,,,,,,,,,,,,,
,CAS RN,Name,Midpoint Ecotox. Charact. factor [PAF.m3.day/kgemitted],,,,,,,,Endpoint Ecotox. Charact. factor [PDF.m3.day/kgemitted],,,,,,,,CHARACTERIZATION FACTOR FLAGGING,
,,,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,(F=indicative; n/a=not available),
,,,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,,Ecotox
,350-46-9,4-FLUORONITROBENZENE,3.91E+00,3.92E+00,3.92E+00,3.91E+00,1.27E+02,3.76E-01,2.04E+01,2.04E+01,1.96E+00,1.96E+00,1.96E+00,1.95E+00,6.36E+01,1.88E-01,1.02E+01,1.02E+01,,F
,3547-04-4,DDE,7.65E+02,8.16E+02,8.50E+02,6.80E+02,1.83E+05,1.17E+02,2.59E+02,2.59E+02,3.83E+02,4.08E+02,4.25E+02,3.40E+02,9.14E+04,5.86E+01,1.30E+02,1.30E+02,,F
,3558-69-8,"2,6-DIPHENYLPYRIDINE",4.27E+03,5.10E+03,5.66E+03,2.88E+03,1.64E+05,3.45E+00,1.41E+03,1.09E+03,2.13E+03,2.55E+03,2.83E+03,1.44E+03,8.22E+04,1.72E+00,7.04E+02,5.47E+02,,F
,35597-43-4,Bilanafos,6.36E+02,6.43E+02,6.47E+02,6.25E+02,2.54E+03,9.29E-14,8.36E+02,7.86E+02,3.18E+02,3.21E+02,3.24E+02,3.12E+02,1.27E+03,4.64E-14,4.18E+02,3.93E+02,,F
,3567-25-7,Sulcofuron-sodium,3.56E+03,3.57E+03,3.58E+03,3.55E+03,1.16E+04,2.55E-07,4.60E+03,4.60E+03,1.78E+03,1.79E+03,1.79E+03,1.77E+03,5.81E+03,1.27E-07,2.30E+03,2.30E+03,,F
,35975-00-9,"5-QUINOLINAMINE, 6-NITRO-",3.34E+02,4.36E+02,5.04E+02,1.65E+02,1.73E+03,9.34E-06,1.41E+02,1.41E+02,1.67E+02,2.18E+02,2.52E+02,8.26E+01,8.63E+02,4.67E-06,7.03E+01,7.03E+01,,F
,36614-38-7,ISOTHIOATE,4.91E+00,6.20E+00,7.06E+00,2.76E+00,2.16E+03,1.34E-02,2.71E+01,2.71E+01,2.46E+00,3.10E+00,3.53E+00,1.38E+00,1.08E+03,6.72E-03,1.35E+01,1.35E+01,,F
,368-77-4,"A,A,A-TRIFLUOR-M-TOLUNITRIL",1.90E+00,1.90E+00,1.90E+00,1.90E+00,1.21E+02,4.42E-01,8.97E+00,8.97E+00,9.50E-01,9.50E-01,9.51E-01,9.49E-01,6.05E+01,2.21E-01,4.49E+00,4.49E+00,,F
,371-40-4,4-FLUOROANILINE,3.95E+00,4.03E+00,4.08E+00,3.83E+00,9.18E+02,1.45E-01,7.54E+01,8.07E+01,1.98E+00,2.02E+00,2.04E+00,1.91E+00,4.59E+02,7.26E-02,3.77E+01,4.04E+01,,F
,371-41-5,P-FLUOROPHENOL,1.04E+01,1.11E+01,1.15E+01,9.21E+00,3.32E+02,2.55E-02,3.68E+01,3.68E+01,5.19E+00,5.54E+00,5.77E+00,4.61E+00,1.66E+02,1.27E-02,1.84E+01,1.84E+01,,F
,37248-47-8,Validamycin,1.14E+01,1.34E+01,1.47E+01,8.13E+00,3.28E+02,7.03E-29,1.84E+00,2.06E+00,5.71E+00,6.69E+00,7.35E+00,4.06E+00,1.64E+02,3.51E-29,9.19E-01,1.03E+00,,F
,3734-48-3,CHLORDENE,5.57E+00,6.94E+00,7.86E+00,3.28E+00,1.78E+04,1.10E+00,3.97E+01,3.97E+01,2.79E+00,3.47E+00,3.93E+00,1.64E+00,8.92E+03,5.50E-01,1.98E+01,1.98E+01,,F
,3735-01-1,PARATHION-AMINO,5.23E+01,7.48E+01,8.98E+01,1.48E+01,1.55E+03,2.33E-03,6.12E+01,6.09E+01,2.62E+01,3.74E+01,4.49E+01,7.42E+00,7.76E+02,1.16E-03,3.06E+01,3.04E+01,,F
,37529-30-9,4-Decylaniline,8.55E+01,1.17E+02,1.38E+02,3.34E+01,1.88E+05,1.94E+00,3.34E+02,1.68E+02,4.27E+01,5.84E+01,6.88E+01,1.67E+01,9.40E+04,9.69E-01,1.67E+02,8.38E+01,,F
,3757-76-4,"Phenol, 2,4-dichloro-, sodium salt",4.58E+03,5.60E+03,6.29E+03,2.87E+03,2.44E+04,8.62E-08,2.58E+03,2.58E+03,2.29E+03,2.80E+03,3.14E+03,1.43E+03,1.22E+04,4.31E-08,1.29E+03,1.29E+03,,F
,37680-65-2,PCB-18,1.74E+03,1.78E+03,1.80E+03,1.67E+03,1.90E+05,3.02E+02,4.35E+02,4.35E+02,8.68E+02,8.88E+02,9.02E+02,8.34E+02,9.49E+04,1.51E+02,2.18E+02,2.18E+02,,F
,37680-73-2,"2,4,5,2',5'-PENTACHLOROBIPHENYL",9.17E+02,9.30E+02,9.39E+02,8.94E+02,2.74E+04,4.56E+02,4.88E+02,4.88E+02,4.58E+02,4.65E+02,4.70E+02,4.47E+02,1.37E+04,2.28E+02,2.44E+02,2.44E+02,,F
,3772-94-9,"Dodecanoic acid, pentachlorophenyl ester",7.04E-03,1.04E-02,1.26E-02,1.44E-03,1.63E+00,8.74E-06,7.01E-04,7.01E-04,3.52E-03,5.20E-03,6.32E-03,7.22E-04,8.16E-01,4.37E-06,3.51E-04,3.51E-04,,F
,383-63-1,TRIFLUOROETHYL ACETATE,8.08E-04,8.08E-04,8.09E-04,8.07E-04,4.90E-01,1.48E-04,3.35E-02,3.35E-02,4.04E-04,4.04E-04,4.04E-04,4.04E-04,2.45E-01,7.38E-05,1.67E-02,1.67E-02,,F
,38444-85-8,"2,3,4'-TRICHLOROBIPHENYL",1.16E+03,1.19E+03,1.22E+03,1.10E+03,9.05E+04,1.51E+02,2.06E+02,2.06E+02,5.79E+02,5.97E+02,6.08E+02,5.50E+02,4.52E+04,7.57E+01,1.03E+02,1.03E+02,,F
,39196-18-4,THIOFANOX,2.00E+04,2.90E+04,3.51E+04,4.87E+03,1.87E+05,1.49E-01,4.95E+02,4.95E+02,9.99E+03,1.45E+04,1.75E+04,2.43E+03,9.36E+04,7.47E-02,2.48E+02,2.48E+02,,F
,3926-62-3,"CHLOROACETIC ACID, SODIUM SALT",4.56E+00,4.60E+00,4.63E+00,4.48E+00,1.40E+01,3.81E-11,4.72E+00,4.72E+00,2.28E+00,2.30E+00,2.32E+00,2.24E+00,7.00E+00,1.91E-11,2.36E+00,2.36E+00,,F
,39765-80-5,TRANS-NONACHLOR,1.86E+03,2.11E+03,2.28E+03,1.43E+03,2.51E+05,1.15E+02,3.58E+02,3.58E+02,9.28E+02,1.05E+03,1.14E+03,7.17E+02,1.26E+05,5.73E+01,1.79E+02,1.79E+02,,F
,3978-81-2,4-(TERT-BUTYL)PYRIDINE,8.36E-01,8.50E-01,8.59E-01,8.13E-01,6.65E+01,1.18E-01,1.17E+00,1.94E+00,4.18E-01,4.25E-01,4.30E-01,4.07E-01,3.32E+01,5.92E-02,5.86E-01,9.70E-01,,F
,4005-51-0,"2-AMINO-1,3,4-THIADIAZOLE",1.34E+01,1.61E+01,1.80E+01,8.74E+00,6.11E+01,2.39E-06,8.95E+00,8.95E+00,6.68E+00,8.07E+00,8.99E+00,4.37E+00,3.06E+01,1.20E-06,4.48E+00,4.48E+00,,F
,40321-76-4,"1,2,3,7,8-PENTACHLORODIBENZO-P-DIOXIN",9.30E+07,9.97E+07,1.04E+08,8.20E+07,1.14E+09,1.56E+05,8.76E+07,8.76E+07,4.65E+07,4.98E+07,5.21E+07,4.10E+07,5.71E+08,7.81E+04,4.38E+07,4.38E+07,,F
,4044-65-9,"Benzene, 1,4-diisothiocyanato-",5.57E+03,5.93E+03,6.17E+03,4.96E+03,1.93E+05,2.18E+01,2.58E+02,2.58E+02,2.78E+03,2.97E+03,3.09E+03,2.48E+03,9.64E+04,1.09E+01,1.29E+02,1.29E+02,,F
,40575-34-6,PHENOPYLATE,2.60E+01,2.92E+01,3.14E+01,2.07E+01,2.71E+03,2.57E-01,4.15E+01,4.15E+01,1.30E+01,1.46E+01,1.57E+01,1.04E+01,1.36E+03,1.28E-01,2.07E+01,2.07E+01,,F
,4104-14-7,"Acetimidoylphosphoramidothioic acid, O,O-bis(p-Chlorophenyl) ester",7.19E+03,1.09E+04,1.33E+04,1.08E+03,1.01E+05,5.17E-02,4.23E+01,1.12E+03,3.60E+03,5.43E+03,6.65E+03,5.42E+02,5.06E+04,2.59E-02,2.12E+01,5.58E+02,,F
,4104-75-0,"UREA,1-METHYL-1-PHENYL-2-THIO",3.84E+01,4.34E+01,4.67E+01,3.00E+01,1.95E+02,1.42E-04,5.21E+01,5.21E+01,1.92E+01,2.17E+01,2.34E+01,1.50E+01,9.73E+01,7.12E-05,2.60E+01,2.60E+01,,F
,4200-95-7,1-Heptadecanamine,3.01E+03,4.47E+03,5.45E+03,5.66E+02,2.72E+04,1.07E+00,6.66E+00,6.73E+00,1.50E+03,2.24E+03,2.73E+03,2.83E+02,1.36E+04,5.33E-01,3.33E+00,3.36E+00,,F
,42087-80-9,METHYL 4-CHLORO-2-NITROBENZOATE,7.79E+01,7.90E+01,7.98E+01,7.59E+01,1.20E+03,4.10E-01,1.58E+02,1.58E+02,3.89E+01,3.95E+01,3.99E+01,3.80E+01,5.98E+02,2.05E-01,7.89E+01,7.89E+01,,F
,4214-76-0,"2-PYRIDINAMINE, 5-NITRO-",1.06E+02,1.26E+02,1.39E+02,7.26E+01,4.70E+02,2.52E-04,6.96E+01,6.96E+01,5.29E+01,6.29E+01,6.96E+01,3.63E+01,2.35E+02,1.26E-04,3.48E+01,3.48E+01,,F
,4238-71-5,"1H-IMIDAZOLE, 1-(PHENYLMETHYL)-",1.36E+01,1.95E+01,2.34E+01,3.77E+00,1.27E+02,1.84E-04,7.01E-01,2.97E+00,6.79E+00,9.73E+00,1.17E+01,1.89E+00,6.35E+01,9.22E-05,3.51E-01,1.48E+00,,F
,4253-89-8,Isopropyl disulfide,1.15E-02,1.58E-02,1.86E-02,4.45E-03,5.22E+02,3.70E-04,1.79E+00,1.79E+00,5.77E-03,7.89E-03,9.31E-03,2.23E-03,2.61E+02,1.85E-04,8.94E-01,8.94E-01,,F
,42835-25-6,Flumequine,2.37E+03,2.57E+03,2.70E+03,2.04E+03,8.67E+03,1.37E-06,2.00E+03,2.45E+03,1.18E+03,1.28E+03,1.35E+03,1.02E+03,4.33E+03,6.86E-07,1.00E+03,1.23E+03,,F
,4301-50-2,FULENETIL,5.97E+02,6.85E+02,7.44E+02,4.50E+02,3.44E+04,1.51E+00,1.92E+02,1.92E+02,2.98E+02,3.43E+02,3.72E+02,2.25E+02,1.72E+04,7.56E-01,9.58E+01,9.58E+01,,F
,434-90-2,Decafluorobiphenyl,2.71E-02,2.86E-02,2.96E-02,2.46E-02,5.68E+02,9.39E-03,2.60E-01,2.60E-01,1.36E-02,1.43E-02,1.48E-02,1.23E-02,2.84E+02,4.70E-03,1.30E-01,1.30E-01,,F
,4403-90-1,Alizarin Cyanine Green F,4.23E+03,4.25E+03,4.26E+03,4.20E+03,1.53E+04,4.38E-18,5.80E+03,5.80E+03,2.12E+03,2.12E+03,2.13E+03,2.10E+03,7.63E+03,2.19E-18,2.90E+03,2.90E+03,,F
,4412-91-3,3-HYDROXYMETHYLFURAN,5.26E-01,6.04E-01,6.55E-01,3.96E-01,2.52E+01,1.90E-04,6.72E+00,6.72E+00,2.63E-01,3.02E-01,3.28E-01,1.98E-01,1.26E+01,9.52E-05,3.36E+00,3.36E+00,,F
,4455-26-9,"1-Octanamine, N-methyl-N-octyl-",7.34E+02,1.08E+03,1.30E+03,1.63E+02,6.82E+04,6.25E+00,3.01E+01,3.13E+01,3.67E+02,5.38E+02,6.52E+02,8.17E+01,3.41E+04,3.13E+00,1.50E+01,1.57E+01,,F
,447-53-0,"1,2-DIHYDRONAPHTHALENE",2.30E-01,2.59E-01,2.78E-01,1.82E-01,1.03E+03,1.48E-02,4.42E+00,4.42E+00,1.15E-01,1.29E-01,1.39E-01,9.11E-02,5.13E+02,7.42E-03,2.21E+00,2.21E+00,,F
,447-60-9,"A,A,A-TRIFLUOR-O-TOLUNITRIL",3.09E+00,3.09E+00,3.10E+00,3.09E+00,1.51E+02,6.55E-01,1.34E+01,1.34E+01,1.55E+00,1.55E+00,1.55E+00,1.54E+00,7.53E+01,3.28E-01,6.72E+00,6.72E+00,,F
,454-89-7,M-(TRIFLUOROMETHYL)BENZALDEHYDE,5.47E+00,5.45E+00,5.44E+00,5.49E+00,4.70E+03,8.30E-01,2.77E+02,2.77E+02,2.73E+00,2.73E+00,2.72E+00,2.75E+00,2.35E+03,4.15E-01,1.38E+02,1.38E+02,,F
,4593-90-2,3-PHENYL-N-BUTYRIC ACID,3.84E+00,4.50E+00,4.94E+00,2.75E+00,3.60E+01,7.65E-07,2.58E+00,3.41E+00,1.92E+00,2.25E+00,2.47E+00,1.38E+00,1.80E+01,3.83E-07,1.29E+00,1.70E+00,,F
,459-56-3,"BENZENEMETHANOL, 4-FLUORO-",9.19E+00,9.42E+00,9.58E+00,8.80E+00,8.38E+01,1.09E-02,2.35E+01,2.35E+01,4.59E+00,4.71E+00,4.79E+00,4.40E+00,4.19E+01,5.47E-03,1.18E+01,1.18E+01,,F
,459-57-4,"BENZALDEHYDE, 4-FLUORO-",4.39E-01,4.36E-01,4.35E-01,4.43E-01,7.56E+01,3.31E-02,1.42E+01,1.42E+01,2.19E-01,2.18E-01,2.17E-01,2.21E-01,3.78E+01,1.65E-02,7.08E+00,7.08E+00,,F
,462-06-6,fluorobenzene,6.20E-01,6.21E-01,6.22E-01,6.17E-01,6.08E+02,1.22E-01,1.56E+01,1.56E+01,3.10E-01,3.10E-01,3.11E-01,3.09E-01,3.04E+02,6.11E-02,7.79E+00,7.79E+00,,F
,462-08-8,3-AMINOPYRIDINE,2.68E+01,3.44E+01,3.94E+01,1.43E+01,1.38E+02,7.78E-05,4.46E+00,2.14E+01,1.34E+01,1.72E+01,1.97E+01,7.13E+00,6.91E+01,3.89E-05,2.23E+00,1.07E+01,,F
,464-45-9,Borneol,2.53E+00,2.57E+00,2.59E+00,2.48E+00,2.64E+02,9.86E-02,1.17E+01,1.17E+01,1.27E+00,1.28E+00,1.29E+00,1.24E+00,1.32E+02,4.93E-02,5.83E+00,5.83E+00,,F
,464-49-3,"(1R,4R)-(+)-CAMPHOR",3.58E-01,3.58E-01,3.58E-01,3.58E-01,6.62E+01,4.01E-02,3.67E+00,3.67E+00,1.79E-01,1.79E-01,1.79E-01,1.79E-01,3.31E+01,2.00E-02,1.84E+00,1.84E+00,,F
,4655-34-9,ISOPROPYL METHACRYLATE,2.42E-02,2.46E-02,2.48E-02,2.36E-02,1.13E+02,2.01E-03,2.82E+00,2.82E+00,1.21E-02,1.23E-02,1.24E-02,1.18E-02,5.63E+01,1.00E-03,1.41E+00,1.41E+00,,F
,465-73-6,ISODRIN,2.52E+03,3.29E+03,3.81E+03,1.24E+03,1.22E+06,2.01E+02,2.69E+03,2.69E+03,1.26E+03,1.65E+03,1.90E+03,6.20E+02,6.08E+05,1.00E+02,1.35E+03,1.35E+03,,F
,4658-28-0,AZIPROTRYNE,7.52E+01,1.01E+02,1.19E+02,3.14E+01,1.14E+03,6.91E-08,4.33E+00,4.33E+00,3.76E+01,5.07E+01,5.95E+01,1.57E+01,5.68E+02,3.46E-08,2.16E+00,2.16E+00,,F
,469-61-4,alpha-Cedrene,1.25E+02,1.71E+02,2.02E+02,4.77E+01,1.20E+05,6.03E+00,5.26E+01,5.26E+01,6.23E+01,8.54E+01,1.01E+02,2.38E+01,5.98E+04,3.01E+00,2.63E+01,2.63E+01,,F
,471-25-0,2-Propynoic acid,4.32E-01,5.11E-01,5.63E-01,3.00E-01,2.94E+00,2.95E-08,2.86E-01,2.71E-01,2.16E-01,2.55E-01,2.82E-01,1.50E-01,1.47E+00,1.47E-08,1.43E-01,1.36E-01,,F
,473-55-2,PINANE,2.05E-02,2.66E-02,3.07E-02,1.03E-02,1.42E+03,1.85E-03,1.53E+00,1.53E+00,1.02E-02,1.33E-02,1.53E-02,5.13E-03,7.10E+02,9.23E-04,7.64E-01,7.64E-01,,F
,4780-79-4,1-NAPHTHALENEMETHANOL,5.17E+01,7.11E+01,8.40E+01,1.94E+01,3.56E+02,1.00E-04,1.66E+01,1.66E+01,2.58E+01,3.55E+01,4.20E+01,9.68E+00,1.78E+02,5.01E-05,8.29E+00,8.29E+00,,F
,479-27-6,"1,8-NAPHTHALENEDIAMINE",2.56E+02,3.51E+02,4.14E+02,9.80E+01,1.70E+03,3.24E-04,1.10E+02,1.23E+02,1.28E+02,1.75E+02,2.07E+02,4.90E+01,8.51E+02,1.62E-04,5.49E+01,6.15E+01,,F
,4798-44-1,1-HEXEN-3-OL,1.25E+00,1.25E+00,1.25E+00,1.25E+00,3.29E+02,2.95E-02,3.92E+01,3.92E+01,6.26E-01,6.26E-01,6.26E-01,6.26E-01,1.64E+02,1.48E-02,1.96E+01,1.96E+01,,F
,481-42-5,"1,4-Naphthalenedione, 5-hydroxy-2-methyl-",1.70E+02,2.37E+02,2.82E+02,5.88E+01,1.41E+03,6.84E-04,3.61E+01,3.62E+01,8.52E+01,1.19E+02,1.41E+02,2.94E+01,7.05E+02,3.42E-04,1.81E+01,1.81E+01,,F
,483-65-8,"PHENANTHRENE, 1-METHYL-7-(1-METHYLETHYL)-",3.23E+01,4.45E+01,5.26E+01,1.19E+01,1.02E+04,1.00E+00,2.35E+00,2.35E+00,1.61E+01,2.22E+01,2.63E+01,5.96E+00,5.08E+03,5.00E-01,1.17E+00,1.17E+00,,F
,4839-46-7,"Pentanedioic acid, 3,3-dimethyl-",1.59E-01,2.07E-01,2.39E-01,7.94E-02,8.14E-01,9.63E-12,6.76E-02,6.55E-02,7.97E-02,1.04E-01,1.20E-01,3.97E-02,4.07E-01,4.81E-12,3.38E-02,3.27E-02,,F
,485-49-4,Bicuculline,8.43E+03,9.08E+03,9.52E+03,7.34E+03,5.21E+04,3.85E-06,1.01E+04,1.01E+04,4.21E+03,4.54E+03,4.76E+03,3.67E+03,2.61E+04,1.92E-06,5.04E+03,5.04E+03,,F
,486-25-9,FLUORENONE,4.70E+01,4.98E+01,5.17E+01,4.22E+01,2.74E+03,2.17E-01,2.23E+01,2.23E+01,2.35E+01,2.49E+01,2.59E+01,2.11E+01,1.37E+03,1.09E-01,1.12E+01,1.12E+01,,F
,4920-77-8,3-METHYL-2-NITROPHENOL,1.57E+01,1.63E+01,1.67E+01,1.46E+01,1.05E+03,3.81E-02,6.93E+01,8.12E+01,7.84E+00,8.15E+00,8.36E+00,7.31E+00,5.24E+02,1.91E-02,3.46E+01,4.06E+01,,F
,492-37-5,ALPHA-PHENYLPROPIONIC ACID,5.23E+00,6.28E+00,6.98E+00,3.49E+00,3.62E+01,4.11E-07,3.07E+00,3.65E+00,2.62E+00,3.14E+00,3.49E+00,1.74E+00,1.81E+01,2.06E-07,1.54E+00,1.82E+00,,F
,493-09-4,"1,4-BENZODIOXAN",1.59E+00,1.59E+00,1.60E+00,1.58E+00,3.42E+02,3.89E-02,2.75E+01,2.75E+01,7.94E-01,7.96E-01,7.98E-01,7.89E-01,1.71E+02,1.94E-02,1.37E+01,1.37E+01,,F
,494-99-5,"Benzene, 1,2-dimethoxy-4-methyl-",2.28E-02,2.27E-02,2.26E-02,2.30E-02,1.03E+01,1.45E-03,1.20E+00,1.20E+00,1.14E-02,1.13E-02,1.13E-02,1.15E-02,5.14E+00,7.24E-04,6.00E-01,6.00E-01,,F
,495-54-5,"2,4-DIAMINOAZOBENZENE",1.18E+04,1.25E+04,1.30E+04,1.07E+04,1.38E+05,5.71E-17,1.17E+04,1.16E+04,5.91E+03,6.25E+03,6.48E+03,5.34E+03,6.90E+04,2.85E-17,5.85E+03,5.81E+03,,F
,496-11-7,indan,9.56E-01,9.64E-01,9.70E-01,9.43E-01,2.89E+02,6.70E-02,3.72E+00,3.72E+00,4.78E-01,4.82E-01,4.85E-01,4.71E-01,1.44E+02,3.35E-02,1.86E+00,1.86E+00,,F
,496-16-2,"2,3-DIHYDROBENZOFURAN",1.58E-01,1.57E-01,1.56E-01,1.60E-01,7.82E+01,8.10E-03,4.73E+00,4.73E+00,7.91E-02,7.85E-02,7.81E-02,8.02E-02,3.91E+01,4.05E-03,2.36E+00,2.36E+00,,F
,497-37-0,exo-Norborneol,6.94E+00,7.39E+00,7.70E+00,6.18E+00,8.15E+01,1.84E-03,1.55E+01,1.55E+01,3.47E+00,3.70E+00,3.85E+00,3.09E+00,4.07E+01,9.21E-04,7.74E+00,7.74E+00,,F
,498-66-8,"BICYCLO[2,2,1]-2-HEPTENE",2.58E-03,3.54E-03,4.18E-03,9.93E-04,3.93E+02,9.30E-05,7.52E-01,7.52E-01,1.29E-03,1.77E-03,2.09E-03,4.96E-04,1.97E+02,4.65E-05,3.76E-01,3.76E-01,,F
,500-22-1,3-FORMYLPYRIDINE,2.08E+01,2.38E+01,2.58E+01,1.57E+01,3.95E+02,4.23E-03,3.31E+01,3.51E+01,1.04E+01,1.19E+01,1.29E+01,7.87E+00,1.98E+02,2.11E-03,1.66E+01,1.76E+01,,F
,500-99-2,"3,5-DIMETHOXYPHENOL",7.24E+00,1.01E+01,1.20E+01,2.50E+00,5.88E+02,6.45E-04,3.72E+01,3.72E+01,3.62E+00,5.04E+00,5.99E+00,1.25E+00,2.94E+02,3.23E-04,1.86E+01,1.86E+01,,F
,502-39-6,Methylmercury Dicyandiamide,1.76E+05,1.70E+05,1.66E+05,1.85E+05,4.86E+05,6.46E-01,2.03E+05,2.03E+05,8.78E+04,8.49E+04,8.30E+04,9.26E+04,2.43E+05,3.23E-01,1.02E+05,1.02E+05,,F
,502-56-7,5-NONANONE,2.41E-01,2.44E-01,2.46E-01,2.36E-01,1.36E+02,1.03E-02,1.65E+00,1.65E+00,1.20E-01,1.22E-01,1.23E-01,1.18E-01,6.78E+01,5.16E-03,8.25E-01,8.25E-01,,F
,50375-10-5,"2,3,6-TRICHLOROANISOLE",5.79E+01,5.81E+01,5.83E+01,5.76E+01,9.57E+03,1.16E+01,1.96E+02,1.96E+02,2.90E+01,2.91E+01,2.91E+01,2.88E+01,4.78E+03,5.80E+00,9.78E+01,9.78E+01,,F
,504-20-1,PHORONE,8.20E-02,8.21E-02,8.22E-02,8.18E-02,9.49E+01,4.85E-03,2.64E+00,2.64E+00,4.10E-02,4.10E-02,4.11E-02,4.09E-02,4.74E+01,2.42E-03,1.32E+00,1.32E+00,,F
,504-29-0,2-AMINOPYRIDINE,1.04E+02,1.50E+02,1.80E+02,2.79E+01,6.74E+02,1.57E-03,6.86E+00,1.88E+01,5.20E+01,7.48E+01,9.01E+01,1.40E+01,3.37E+02,7.87E-04,3.43E+00,9.41E+00,,F
,504-63-2,"1,3-PROPANEDIOL",4.01E-01,4.25E-01,4.41E-01,3.62E-01,1.47E+00,1.90E-06,3.95E-01,3.95E-01,2.01E-01,2.13E-01,2.20E-01,1.81E-01,7.33E-01,9.51E-07,1.98E-01,1.98E-01,,F
,506-96-7,ACETYL BROMIDE,4.30E+00,4.31E+00,4.31E+00,4.30E+00,1.47E+02,2.47E-01,2.89E+01,2.89E+01,2.15E+00,2.15E+00,2.15E+00,2.15E+00,7.34E+01,1.24E-01,1.44E+01,1.44E+01,,F
,508-32-7,Tricyclene,2.05E-01,2.23E-01,2.35E-01,1.75E-01,3.41E+03,3.20E-02,6.29E+00,6.29E+00,1.03E-01,1.12E-01,1.18E-01,8.76E-02,1.70E+03,1.60E-02,3.15E+00,3.15E+00,,F
,5103-71-9,cis-Chlordane,8.25E+03,8.96E+03,9.43E+03,7.07E+03,8.67E+05,1.29E+03,2.35E+03,2.35E+03,4.13E+03,4.48E+03,4.72E+03,3.54E+03,4.34E+05,6.44E+02,1.17E+03,1.17E+03,,F
,5103-74-2,trans-Chlordane,1.09E+03,1.19E+03,1.25E+03,9.38E+02,1.15E+05,1.67E+02,3.11E+02,3.11E+02,5.47E+02,5.94E+02,6.25E+02,4.69E+02,5.75E+04,8.35E+01,1.55E+02,1.55E+02,,F
,51207-31-9,"2,3,7,8-TetraCDF",2.88E+07,2.98E+07,3.04E+07,2.73E+07,8.91E+08,3.03E+06,3.60E+07,3.60E+07,1.44E+07,1.49E+07,1.52E+07,1.36E+07,4.45E+08,1.52E+06,1.80E+07,1.80E+07,,F
,513-48-4,2-IODOBUTANE,5.48E-02,5.63E-02,5.74E-02,5.22E-02,4.11E+02,4.22E-03,2.15E+00,2.15E+00,2.74E-02,2.82E-02,2.87E-02,2.61E-02,2.05E+02,2.11E-03,1.07E+00,1.07E+00,,F
,513-81-5,"2,3-DIMETHYL-1,3-BUTADIENE",3.10E-03,4.39E-03,5.24E-03,9.64E-04,5.54E+02,9.30E-05,1.42E+00,1.42E+00,1.55E-03,2.19E-03,2.62E-03,4.82E-04,2.77E+02,4.65E-05,7.08E-01,7.08E-01,,F
,51892-26-3,"2,4-Dichlorodiphenyl ether",1.43E+02,1.48E+02,1.51E+02,1.35E+02,1.21E+04,1.59E+01,4.29E+01,4.29E+01,7.16E+01,7.41E+01,7.57E+01,6.76E+01,6.07E+03,7.93E+00,2.15E+01,2.15E+01,,F
,5192-03-0,5-AMINOINDOLE,1.75E+01,2.52E+01,3.03E+01,4.82E+00,1.22E+02,6.74E-06,1.36E+00,7.05E+00,8.77E+00,1.26E+01,1.51E+01,2.41E+00,6.12E+01,3.37E-06,6.82E-01,3.53E+00,,F
,5221-49-8,Pyrimithate,2.25E+01,3.29E+01,3.97E+01,5.35E+00,7.52E+03,1.78E-02,1.65E+02,1.46E+02,1.13E+01,1.64E+01,1.99E+01,2.67E+00,3.76E+03,8.91E-03,8.25E+01,7.29E+01,,F
,5221-53-4,Dimethirimol,2.96E+01,4.47E+01,5.48E+01,4.49E+00,2.26E+02,3.31E-08,1.57E-01,1.57E-01,1.48E+01,2.24E+01,2.74E+01,2.25E+00,1.13E+02,1.66E-08,7.85E-02,7.85E-02,,F
,52303-69-2,"PROPANEDIOIC ACID, 1,3-DITHIOLAN-2-YLIDENE-, BIS",7.78E+01,9.39E+01,1.05E+02,5.09E+01,5.36E+02,5.93E-04,8.78E+01,8.78E+01,3.89E+01,4.70E+01,5.24E+01,2.55E+01,2.68E+02,2.96E-04,4.39E+01,4.39E+01,,F
,523-44-4,"C,I, ACID ORANGE 20",1.17E+01,1.17E+01,1.17E+01,1.16E+01,3.92E+01,2.66E-19,1.61E+01,1.61E+01,5.83E+00,5.85E+00,5.86E+00,5.81E+00,1.96E+01,1.33E-19,8.05E+00,8.05E+00,,F
,524-42-5,"1,2-Naphthalenedione",2.45E+03,2.96E+03,3.29E+03,1.60E+03,1.87E+04,5.16E-02,1.69E+03,1.69E+03,1.22E+03,1.48E+03,1.65E+03,8.02E+02,9.36E+03,2.58E-02,8.47E+02,8.47E+02,,F
,525-82-6,FLAVONE,2.53E+02,3.45E+02,4.06E+02,1.00E+02,1.08E+04,4.48E-02,2.13E+02,2.13E+02,1.26E+02,1.72E+02,2.03E+02,5.00E+01,5.40E+03,2.24E-02,1.06E+02,1.06E+02,,F
,527-20-8,PENTACHLOROANILINE,9.83E+03,1.09E+04,1.16E+04,8.11E+03,3.21E+05,6.86E+01,9.21E+02,9.21E+02,4.92E+03,5.43E+03,5.78E+03,4.06E+03,1.61E+05,3.43E+01,4.61E+02,4.60E+02,,F
