,,,,,,,,,,,,,,,,,,,,
,CAS RN,Name,Midpoint Ecotox. Charact. factor [PAF.m3.day/kgemitted],,,,,,,,Endpoint Ecotox. Charact. factor [PDF.m3.day/kgemitted],,,,,,,,CHARACTERIZATION FACTOR FLAGGING,
,,,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,(F=indicative; n/a=not available),
,,,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,,Ecotox
,134-62-3,"DEET [N,N,-DIET-3-ME BENZAMIDE]",3.07E+00,3.57E+00,3.90E+00,2.24E+00,2.23E+02,5.79E-03,1.14E+01,1.14E+01,1.54E+00,1.79E+00,1.95E+00,1.12E+00,1.12E+02,2.90E-03,5.70E+00,5.70E+00,,F
,135-88-6,N-PHENYL-2-NAPHTHYLAMINE,1.50E+03,2.27E+03,2.78E+03,2.12E+02,9.73E+04,5.22E-02,9.14E+02,9.14E+02,7.48E+02,1.13E+03,1.39E+03,1.06E+02,4.87E+04,2.61E-02,4.57E+02,4.57E+02,,F
,13593-03-8,QUINALPHOS,2.32E+03,3.44E+03,4.18E+03,4.62E+02,6.28E+04,6.28E-02,7.19E+01,7.19E+01,1.16E+03,1.72E+03,2.09E+03,2.31E+02,3.14E+04,3.14E-02,3.60E+01,3.60E+01,,
,13674-87-8,"TRIS(1,3-DICHLOROISOPROPYL) PHOSPHATE",2.51E+03,3.12E+03,3.53E+03,1.50E+03,2.26E+04,3.03E-01,1.63E+03,1.63E+03,1.26E+03,1.56E+03,1.76E+03,7.49E+02,1.13E+04,1.51E-01,8.13E+02,8.13E+02,,
,13684-63-4,PHENMEDIPHAM,1.80E+03,2.33E+03,2.69E+03,9.05E+02,4.21E+04,2.21E-06,6.01E+01,6.02E+01,8.99E+02,1.17E+03,1.34E+03,4.52E+02,2.10E+04,1.10E-06,3.00E+01,3.01E+01,,
,137-26-8,Thiram,4.32E+03,6.55E+03,8.04E+03,6.10E+02,5.79E+05,3.54E-01,3.34E+03,3.34E+03,2.16E+03,3.28E+03,4.02E+03,3.05E+02,2.90E+05,1.77E-01,1.67E+03,1.67E+03,,
,137-29-1,Cumate,1.90E+04,2.67E+04,3.18E+04,6.22E+03,1.24E+05,1.12E-02,5.58E+03,5.58E+03,9.51E+03,1.33E+04,1.59E+04,3.11E+03,6.22E+04,5.59E-03,2.79E+03,2.79E+03,,F
,137-30-4,ZIRAM,4.47E+04,6.69E+04,8.18E+04,7.55E+03,3.26E+05,1.36E-02,1.34E+03,1.34E+03,2.23E+04,3.35E+04,4.09E+04,3.78E+03,1.63E+05,6.78E-03,6.69E+02,6.69E+02,,F
,138261-41-3,IMIDACLOPRID,8.91E+02,8.99E+02,9.03E+02,8.80E+02,3.20E+03,6.82E-09,1.22E+03,1.22E+03,4.46E+02,4.49E+02,4.52E+02,4.40E+02,1.60E+03,3.41E-09,6.12E+02,6.12E+02,,F
,139-40-2,PROPAZINE,4.39E+04,5.49E+04,6.22E+04,2.55E+04,2.56E+05,5.60E-01,2.72E+04,2.72E+04,2.19E+04,2.74E+04,3.11E+04,1.28E+04,1.28E+05,2.80E-01,1.36E+04,1.36E+04,,
,140-11-4,BENZYL ACETATE,4.81E+01,4.85E+01,4.87E+01,4.75E+01,3.04E+03,7.10E-01,2.76E+02,2.76E+02,2.41E+01,2.42E+01,2.43E+01,2.38E+01,1.52E+03,3.55E-01,1.38E+02,1.38E+02,,F
,1401-55-4,Tannins,7.76E+02,7.82E+02,7.86E+02,7.67E+02,3.21E+03,1.10E-25,1.04E+03,1.04E+03,3.88E+02,3.91E+02,3.93E+02,3.83E+02,1.60E+03,5.51E-26,5.21E+02,5.21E+02,,F
,140-56-7,FENAMINOSULF,1.46E+02,1.85E+02,2.11E+02,8.06E+01,2.26E+03,2.40E-12,5.04E+01,5.04E+01,7.28E+01,9.24E+01,1.05E+02,4.03E+01,1.13E+03,1.20E-12,2.52E+01,2.52E+01,,F
,140-57-8,ARAMITE,1.10E+03,1.41E+03,1.61E+03,5.99E+02,1.80E+05,7.00E+00,5.89E+02,5.89E+02,5.52E+02,7.04E+02,8.05E+02,2.99E+02,8.98E+04,3.50E+00,2.95E+02,2.95E+02,,F
,140-79-4,"N,N'-DINITROSOPIPERAZINE",1.13E+02,1.08E+02,1.05E+02,1.21E+02,3.17E+02,5.67E-05,1.41E+02,1.41E+02,5.65E+01,5.42E+01,5.27E+01,6.03E+01,1.58E+02,2.84E-05,7.04E+01,7.04E+01,,F
,140-88-5,Ethyl acrylate,9.24E-01,9.18E-01,9.14E-01,9.35E-01,6.51E+02,7.53E-02,5.86E+01,5.86E+01,4.62E-01,4.59E-01,4.57E-01,4.67E-01,3.26E+02,3.77E-02,2.93E+01,2.93E+01,,
,141-05-9,DIETHYL MALEATE,1.77E+01,1.86E+01,1.93E+01,1.60E+01,9.54E+02,4.07E-02,6.94E+01,6.94E+01,8.83E+00,9.32E+00,9.65E+00,8.02E+00,4.77E+02,2.03E-02,3.47E+01,3.47E+01,,F
,141-66-2,DICROTOPHOS,2.65E+03,3.36E+03,3.84E+03,1.47E+03,1.33E+04,1.01E-04,1.45E+03,1.45E+03,1.33E+03,1.68E+03,1.92E+03,7.36E+02,6.66E+03,5.07E-05,7.27E+02,7.27E+02,,
,141-78-6,Ethyl acetate,8.56E-02,8.56E-02,8.56E-02,8.56E-02,5.87E+00,5.97E-03,8.80E-01,8.80E-01,4.28E-02,4.28E-02,4.28E-02,4.28E-02,2.94E+00,2.98E-03,4.40E-01,4.40E-01,,
,141-90-2,2-THIOURACIL,9.54E+01,1.43E+02,1.75E+02,1.62E+01,6.24E+02,1.07E-07,4.75E-02,4.75E-02,4.77E+01,7.15E+01,8.73E+01,8.12E+00,3.12E+02,5.35E-08,2.38E-02,2.38E-02,,F
,1420-04-8,NICLOSAMIDE ETHANOLAMINE SALT,4.73E+04,4.74E+04,4.75E+04,4.72E+04,1.56E+05,3.26E-13,6.55E+04,6.55E+04,2.37E+04,2.37E+04,2.37E+04,2.36E+04,7.80E+04,1.63E-13,3.27E+04,3.27E+04,,F
,142-59-6,NABAM,3.73E+03,5.31E+03,6.36E+03,1.11E+03,2.53E+04,5.47E-12,8.47E+02,8.47E+02,1.87E+03,2.65E+03,3.18E+03,5.54E+02,1.26E+04,2.74E-12,4.24E+02,4.24E+02,,F
,14324-55-1,Ethyl ziram,1.87E+04,2.64E+04,3.15E+04,5.93E+03,1.23E+05,2.61E-03,5.31E+03,5.31E+03,9.37E+03,1.32E+04,1.58E+04,2.96E+03,6.16E+04,1.31E-03,2.65E+03,2.65E+03,,F
,143390-89-0,BAS 490F,2.10E+04,3.09E+04,3.75E+04,4.50E+03,1.64E+05,4.61E-02,9.55E+02,9.55E+02,1.05E+04,1.55E+04,1.88E+04,2.25E+03,8.18E+04,2.30E-02,4.78E+02,4.78E+02,,
,143-50-0,Kepone,7.36E+04,9.57E+04,1.10E+05,3.67E+04,1.19E+06,1.69E+01,6.38E+03,6.38E+03,3.68E+04,4.79E+04,5.52E+04,1.84E+04,5.95E+05,8.44E+00,3.19E+03,3.19E+03,,
,1445-75-6,"PHOSPHONIC ACID, METHYL-, DIISOPROPYL ESTER",9.80E-03,9.55E-03,9.37E-03,1.02E-02,9.11E+00,3.73E-04,1.47E+00,1.47E+00,4.90E-03,4.77E-03,4.69E-03,5.12E-03,4.55E+00,1.86E-04,7.33E-01,7.33E-01,,F
,14484-64-1,FERBAM,9.87E+04,1.10E+05,1.18E+05,7.96E+04,4.25E+05,5.80E-04,1.14E+05,1.14E+05,4.94E+04,5.51E+04,5.90E+04,3.98E+04,2.13E+05,2.90E-04,5.72E+04,5.72E+04,,F
