,"Productions agricoles francaises conventionnelles
(ou étrangères modélisées dans le cadre d'Agribalyse)",,,,,,,,,"*Ces indicateurs représentent l’impact sur la santé lié à l’exposition de la population générale aux contaminants chimiques via les pollutions du milieu (air, eau, sol).  Ces contaminants émis dans l’environnement sont notamment des pesticides, des métaux lourds ou encore des polluants industriels. L’exposition par ingestion directe d’un aliment contenant des résidus de pesticides n’est pour l’instant pas intégrée dans les calculs d’Analyse du Cycle de Vie. Cette exposition est par ailleurs encadrée par la réglementation « Limites Maximales de Résidus (LMR) » au niveau français et européen.  ",,,,,,,,,,,,,
,,,,Score unique EF3.1 ,Changement climatique,Appauvrissement de la couche d'ozone ,Rayonnements ionisants ,Formation photochimique d'ozone ,Particules ,Effets toxicologiques sur la santé humaine : substances non-cancérogènes*,Effets toxicologiques sur la santé humaine : substances cancérogènes*,Acidification terrestre et eaux douces,Eutrophisation eaux douces ,Eutrophisation marine ,Eutrophisation terreste,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux,Changement climatique - émissions biogéniques,Changement climatique - émissions fossiles,Changement climatique - émissions liées au changement d'affectation des sols
Nom du Produit en Français,LCI Name,Type de production,Catégorie,mPt/kg,kg CO2 eq/kg,kg CFC11 eq/kg,kBq U-235 eq/kg,kg NMVOC eq/kg,disease inc./kg,CTUh/kg,CTUh/kg,mol H+ eq/kg,kg P eq/kg,kg N eq/kg,mol N eq/kg,CTUe/kg,Pt/kg,m3 depriv./kg,MJ/kg,kg Sb eq/kg,kg CO2 eq/kg,kg CO2 eq/kg,kg CO2 eq/kg
"Blé tendre, scénario de base, à la ferme, France","Soft wheat grain, basis scenario without lever, at farm gate {FR} U",Culture,Agricultural\Plant production\Cereals\Transformation,6.05E-02,4.45E-01,6.28E-09,9.45E-03,1.46E-03,4.75E-08,1.09E-08,5.72E-10,7.45E-03,9.33E-05,4.97E-03,3.29E-02,3.66E+00,6.16E+01,1.60E-01,2.04E+00,1.30E-06,8.57E-05,3.72E-01,7.21E-02
"Boeuf, moyenne nationale, à la ferme, France","Beef cattle, conventional, national average, at farm gate {FR} U",Elevage,Agricultural\Animal production\Bovine\Transformation,1.35E+00,1.45E+01,5.43E-08,3.07E-01,2.09E-02,1.38E-06,2.12E-07,5.74E-09,2.06E-01,5.73E-04,4.33E-02,9.11E-01,7.30E+01,9.66E+02,1.16E+00,2.42E+01,1.75E-05,1.09E+01,3.62E+00,-2.77E-02
"Brebis de réforme, conventionnel, intérieur, à la ferme, France","Cull ewe, conventional, indoor production system, at farm gate {FR} U",Elevage,Agricultural\Animal production\Ovine\Transformation,2.04E+00,1.83E+01,6.88E-08,2.40E-01,2.73E-02,2.32E-06,2.93E-07,8.38E-09,3.43E-01,8.11E-04,7.23E-02,1.53E+00,7.16E+01,1.81E+03,1.06E+00,2.76E+01,2.10E-05,1.24E+01,5.33E+00,5.84E-01
"Brebis de réforme, conventionnel, système Roquefort , à la ferme, France","Cull ewe, conventional, Roquefort system, at farm gate {FR} U",Elevage,Agricultural\Animal production\Ovine\Transformation,1.03E+00,7.13E+00,4.60E-08,2.38E-01,1.21E-02,1.34E-06,1.04E-07,4.02E-09,1.95E-01,5.45E-04,2.96E-02,8.68E-01,4.31E+01,7.67E+02,1.64E+00,1.80E+01,1.10E-05,4.26E+00,2.99E+00,-1.29E-01
"Canard à rôtir,  conventionnel, à la ferme, France","Duck for roasting, conventional, at farm gate {FR} U",Elevage,Agricultural\Animal production\Avian\Transformation,4.64E-01,3.00E+00,4.46E-08,1.79E-01,9.50E-03,4.87E-07,4.38E-08,3.13E-09,6.92E-02,5.24E-04,1.80E-02,3.01E-01,1.33E+02,2.09E+02,1.15E+00,1.70E+01,9.21E-06,7.01E-01,1.74E+00,5.60E-01
"Canard Engraissement,  conventionnel, à la ferme, France","Fattening duck, conventional, at farm gate {FR} U",Elevage,Agricultural\Animal production\Avian\Transformation,5.56E-01,3.13E+00,5.95E-08,4.83E-01,8.93E-03,6.61E-07,3.71E-08,3.24E-09,9.50E-02,6.87E-04,2.04E-02,4.17E-01,8.11E+01,2.32E+02,1.47E+00,2.58E+01,1.12E-05,7.77E-01,2.06E+00,2.92E-01
"Carotte conventionnelle, moyenne nationale, à la ferme, France","Carrot, conventional, national average, at farm gate {FR} U",Culture,Agricultural\Plant production\Vegetables\Transformation,1.75E-02,6.77E-02,3.12E-09,2.34E-02,2.54E-04,6.66E-09,5.75E-09,1.12E-10,9.48E-04,2.37E-05,8.68E-04,2.50E-03,1.32E+01,6.45E+00,2.81E-01,1.16E+00,9.63E-07,9.21E-05,6.76E-02,6.34E-05
"Carotte, conventionnel, automne, Creances, Basse-Normandie, à la ferme, France","Carrot, conventional, fall, Creances, Lower Normandie, at farm gate {FR} U",Culture,Agricultural\Plant production\Vegetables\Transformation,7.85E-03,4.85E-02,2.74E-09,6.15E-03,1.66E-04,3.49E-09,1.14E-09,7.11E-11,4.44E-04,1.48E-05,3.39E-04,1.52E-03,4.05E+00,6.19E+00,6.35E-02,6.36E-01,5.19E-07,4.05E-05,4.84E-02,5.02E-05
"Carotte, conventionnel, automne, Mont St. Michel, Basse-Normandie, à la ferme, France","Carrot, conventional, fall, Mont St. Michel, Lower Normandie, at farm gate {FR} U",Culture,Agricultural\Plant production\Vegetables\Transformation,7.09E-03,4.75E-02,2.05E-09,3.03E-03,1.58E-04,3.13E-09,1.37E-09,6.58E-11,4.24E-04,1.21E-05,4.38E-04,1.54E-03,3.47E+00,5.84E+00,2.19E-02,5.42E-01,4.43E-07,2.82E-05,4.74E-02,4.08E-05
"Carotte, conventionnel, automne, Val de Saire, Basse-Normandie, à la ferme, France","Carrot, conventional, fall, Val de Saire, Lower Normandie, at farm gate {FR} U",Culture,Agricultural\Plant production\Vegetables\Transformation,7.23E-03,4.75E-02,1.72E-09,3.35E-03,1.55E-04,3.31E-09,1.28E-09,7.13E-11,4.51E-04,1.33E-05,5.56E-04,1.61E-03,2.78E+00,6.94E+00,2.07E-02,5.10E-01,4.87E-07,2.54E-05,4.74E-02,4.68E-05
"Carotte, conventionnel, de saison, Aquitaine, à la ferme, France","Carrot, conventional, main season, Aquitaine, at farm gate {FR} U",Culture,Agricultural\Plant production\Vegetables\Transformation,1.48E-02,4.72E-02,1.96E-09,3.07E-02,1.77E-04,4.77E-09,4.75E-09,1.14E-10,6.86E-04,2.36E-05,3.59E-04,1.61E-03,1.06E+01,7.01E+00,3.88E-01,9.91E-01,7.84E-07,7.34E-05,4.71E-02,4.94E-05
"Carotte, conventionnel, hiver, Aquitaine, à la ferme, France","Carrot, conventional, winter, Aquitaine, at farm gate {FR} U",Culture,Agricultural\Plant production\Vegetables\Transformation,1.53E-02,5.73E-02,2.99E-09,2.06E-02,2.42E-04,5.75E-09,5.19E-09,9.96E-11,8.52E-04,2.08E-05,3.84E-04,2.18E-03,1.31E+01,5.66E+00,2.50E-01,9.43E-01,8.87E-07,7.65E-05,5.72E-02,4.74E-05
"Carotte, conventionnel, hiver, Creances, Basse-Normandie, à la ferme, France","Carrot, conventional, winter, Creances, Lower Normandie, at farm gate {FR} U",Culture,Agricultural\Plant production\Vegetables\Transformation,3.11E-02,1.26E-01,7.12E-09,1.85E-02,4.70E-04,1.56E-08,1.11E-08,1.45E-10,2.22E-03,2.67E-05,2.44E-03,6.99E-03,2.49E+01,6.28E+00,1.81E-01,1.64E+00,1.80E-06,1.49E-04,1.25E-01,1.02E-04
